# A&A Boxes UI Text - Plain Text Format
# Format: KEY = English Text | Spanish Text
# Lines starting with # are comments
# Empty lines are ignored

# ===== HEADER / NAVIGATION =====
nav.home = Home | Inicio
admin.sections.form.uploading = Uploading | Subiendo

admin.sections.form.cancel = Cancel | Cancelar
admin.sections.form.save = Save Section | Guardar Sección
admin.sections.form.saving = Saving... | Guardando...

admin.sections.delete.title = Are you sure? | ¿Estás seguro?
admin.sections.delete.description = This action cannot be undone. This will permanently delete the section and all its content blocks. | Esta acción no se puede deshacer. Esto eliminará permanentemente la sección y todos sus bloques de contenido.
admin.sections.delete.cancel = Cancel | Cancelar
admin.sections.delete.confirm = Delete | Eliminar
admin.sections.delete.deleting = Deleting... | Eliminando...

admin.sections.toast.fillFields = Please fill in all required fields | Por favor completa todos los campos requeridos
admin.sections.toast.created = Section created successfully! | ¡Sección creada exitosamente!
admin.sections.toast.updated = Section updated successfully! | ¡Sección actualizada exitosamente!
admin.sections.toast.deleted = Section deleted successfully! | ¡Sección eliminada exitosamente!
admin.sections.toast.error = Failed to save section | Error al guardar sección
admin.sections.toast.deleteError = Failed to delete section | Error al eliminar sección

# ===== CONTENT BLOCKS MANAGER =====
admin.contentBlocks.title = Content Blocks Manager | Gestor de Bloques de Contenido
admin.contentBlocks.description = Add flexible content blocks to your sections | Agrega bloques de contenido flexibles a tus secciones
admin.contentBlocks.addButton = Add Content Block | Agregar Bloque de Contenido
admin.contentBlocks.loading = Loading... | Cargando...
admin.contentBlocks.noSections = No sections available. Create a section first! | No hay secciones disponibles. ¡Crea una sección primero!
admin.contentBlocks.selectSection = Select a section to view its content blocks | Selecciona una sección para ver sus bloques de contenido
admin.contentBlocks.noBlocks = No content blocks yet. Add your first block! | No hay bloques de contenido aún. ¡Agrega tu primer bloque!

admin.contentBlocks.dialog.title = Add Content Block | Agregar Bloque de Contenido
admin.contentBlocks.dialog.description = Create a new content block for the selected section | Crea un nuevo bloque de contenido para la sección seleccionada

admin.contentBlocks.form.section = Section * | Sección *
admin.contentBlocks.form.sectionPlaceholder = Select a section | Selecciona una sección
admin.contentBlocks.form.blockType = Block Type * | Tipo de Bloque *
admin.contentBlocks.form.textBlock = Text Block | Bloque de Texto
admin.contentBlocks.form.imageBlock = Image Block | Bloque de Imagen
admin.contentBlocks.form.mixedBlock = Mixed Block | Bloque Mixto
admin.contentBlocks.form.titleEn = Title (English) * | Título (Inglés) *
admin.contentBlocks.form.titleEnPlaceholder = Block title in English | Título del bloque en inglés
admin.contentBlocks.form.titleEs = Title (Spanish) * | Título (Español) *
admin.contentBlocks.form.titleEsPlaceholder = Título del bloque en español | Título del bloque en español
admin.contentBlocks.form.contentEn = Content (English) * | Contenido (Inglés) *
admin.contentBlocks.form.contentEnPlaceholder = Block content in English | Contenido del bloque en inglés
admin.contentBlocks.form.contentEs = Content (Spanish) * | Contenido (Español) *
admin.contentBlocks.form.contentEsPlaceholder = Contenido del bloque en español | Contenido del bloque en español
admin.contentBlocks.form.image = Block Image | Imagen del Bloque
admin.contentBlocks.form.imageRequired = (Required for Image and Mixed blocks) | (Requerido para bloques de Imagen y Mixtos)
admin.contentBlocks.form.order = Display Order | Orden de Visualización
admin.contentBlocks.form.visibility = Visibility | Visibilidad
admin.contentBlocks.form.visible = Visible | Visible
admin.contentBlocks.form.hidden = Hidden | Oculto
admin.contentBlocks.form.uploading = Uploading | Subiendo

admin.contentBlocks.form.cancel = Cancel | Cancelar
admin.contentBlocks.form.save = Add Block | Agregar Bloque
admin.contentBlocks.form.saving = Adding... | Agregando...

admin.contentBlocks.toast.selectSection = Please select a section | Por favor selecciona una sección
admin.contentBlocks.toast.fillFields = Please fill in all required fields | Por favor completa todos los campos requeridos
admin.contentBlocks.toast.imageRequired = Image is required for Image and Mixed block types | Se requiere imagen para bloques de tipo Imagen y Mixto
admin.contentBlocks.toast.added = Content block added successfully! | ¡Bloque de contenido agregado exitosamente!
admin.contentBlocks.toast.error = Failed to add content block | Error al agregar bloque de contenido

# ===== INSTAGRAM FEED MANAGER =====
admin.instagram.title = Instagram Feed Configuration | Configuración del Feed de Instagram
admin.instagram.description = Configure the Instagram feed section displayed on your landing page | Configura la sección del feed de Instagram mostrada en tu página de inicio
admin.instagram.loading = Loading... | Cargando...
admin.instagram.saveButton = Save Configuration | Guardar Configuración
admin.instagram.saving = Saving... | Guardando...

admin.instagram.form.display = Display Instagram Section | Mostrar Sección de Instagram
admin.instagram.form.displayDesc = Show or hide the Instagram feed section on the landing page | Mostrar u ocultar la sección del feed de Instagram en la página de inicio
admin.instagram.form.titleEn = Title (English) | Título (Inglés)
admin.instagram.form.titleEnPlaceholder = Follow Us on Instagram | Síguenos en Instagram
admin.instagram.form.titleEs = Title (Spanish) | Título (Español)
admin.instagram.form.titleEsPlaceholder = Síguenos en Instagram | Síguenos en Instagram
admin.instagram.form.descriptionEn = Description (English) | Descripción (Inglés)
admin.instagram.form.descriptionEnPlaceholder = Stay connected for the latest designs and special offers | Mantente conectado para los últimos diseños y ofertas especiales
admin.instagram.form.descriptionEs = Description (Spanish) | Descripción (Español)
admin.instagram.form.descriptionEsPlaceholder = Mantente conectado para los últimos diseños y ofertas especiales | Mantente conectado para los últimos diseños y ofertas especiales
admin.instagram.form.handle = Instagram Handle (without @) | Usuario de Instagram (sin @)
admin.instagram.form.handlePlaceholder = aaboxespr | aaboxespr
admin.instagram.form.handleDesc = Enter your Instagram username without the @ symbol | Ingresa tu nombre de usuario de Instagram sin el símbolo @
admin.instagram.form.embedCode = Instagram Embed Code (Optional) | Código de Inserción de Instagram (Opcional)
admin.instagram.form.embedCodePlaceholder = <iframe src="..." ...></iframe> or <blockquote class="instagram-media" ...></blockquote> | <iframe src="..." ...></iframe> o <blockquote class="instagram-media" ...></blockquote>
admin.instagram.form.embedCodeDesc = Paste the Instagram embed code from Instagram's embed feature. If provided, this will be used instead of the handle link. | Pega el código de inserción de Instagram desde la función de inserción de Instagram. Si se proporciona, se usará en lugar del enlace del usuario.
admin.instagram.form.displayOrder = Display Order | Orden de Visualización
admin.instagram.form.displayOrderPlaceholder = 5 | 5
admin.instagram.form.displayOrderDesc = Lower numbers appear first. Default is 5 (before Contact section). | Los números más bajos aparecen primero. El valor predeterminado es 5 (antes de la sección de Contacto).

admin.instagram.toast.updated = Instagram feed configuration updated successfully! | ¡Configuración del feed de Instagram actualizada exitosamente!
admin.instagram.toast.error = Failed to update Instagram feed configuration | Error al actualizar la configuración del feed de Instagram

# ===== USER MANAGEMENT PANEL =====
admin.users.title = User Management | Gestión de Usuarios
admin.users.description = Manage admin users and their access to the system | Gestiona usuarios administradores y su acceso al sistema
admin.users.createButton = Create User | Crear Usuario
admin.users.loading = Loading... | Cargando...
admin.users.noUsers = No users found. Create your first admin user to get started. | No se encontraron usuarios. Crea tu primer usuario administrador para comenzar.

admin.users.dialog.title = Create New Admin User | Crear Nuevo Usuario Administrador
admin.users.dialog.description = Add a new user who can access the admin panel | Agrega un nuevo usuario que pueda acceder al panel de administración
admin.users.form.username = Username | Usuario
admin.users.form.usernamePlaceholder = Enter username | Ingresa usuario
admin.users.form.fullName = Full Name | Nombre Completo
admin.users.form.fullNamePlaceholder = Enter full name | Ingresa nombre completo
admin.users.form.password = Password | Contraseña
admin.users.form.passwordPlaceholder = Enter password | Ingresa contraseña
admin.users.form.createButton = Create User | Crear Usuario
admin.users.form.creating = Creating... | Creando...

admin.users.table.username = Username | Usuario
admin.users.table.fullName = Full Name | Nombre Completo
admin.users.table.status = Status | Estado
admin.users.table.created = Created | Creado
admin.users.table.createdBy = Created By | Creado Por
admin.users.table.active = Active | Activo
admin.users.table.inactive = Inactive | Inactivo

admin.users.toast.fillFields = Please fill in all fields | Por favor completa todos los campos
admin.users.toast.created = User created successfully! | ¡Usuario creado exitosamente!
admin.users.toast.error = Failed to create user | Error al crear usuario
